# Convergence History Data
# Solver: cg
# Smoother: gs
# Generated: 2025-10-15 13:30:09
Iteration,Residual
1,2.78812846247328E+00
2,1.48568131429490E+00
3,1.30390120112414E+00
4,1.34261835806286E+00
5,1.10745786307860E+00
6,1.32379513616380E+00
7,1.32628233305479E+00
8,1.35281149858275E+00
9,1.23129442262909E+00
10,1.07419774140330E+00
11,1.18865205024215E+00
12,1.10114887177733E+00
13,8.86472140000652E-01
14,1.24354784625326E+00
15,1.38493591746924E+00
16,1.56778016880182E+00
17,1.69180351269610E+00
18,1.40908132657265E+00
19,1.63404308433197E+00
20,1.76643064759949E+00
21,1.86281685894635E+00
22,2.56404465762615E+00
23,2.36082608916315E+00
24,2.66395892820562E+00
25,3.11608053902912E+00
26,2.80763044929898E+00
27,2.74730746386043E+00
28,2.92476512370330E+00
29,2.73136601020172E+00
30,2.86745673465629E+00
31,2.57313803215586E+00
32,2.55158070893318E+00
33,2.62990496524882E+00
34,2.11379212626611E+00
35,2.45017741387973E+00
36,2.52430082854524E+00
37,2.47462951582920E+00
38,3.28026552314413E+00
39,3.38001900577579E+00
40,3.40242622488581E+00
41,4.02813248978962E+00
42,4.21423732738784E+00
43,4.87974568876602E+00
44,5.51845908602016E+00
45,5.18741205997031E+00
46,5.10737449711937E+00
47,4.49317504759459E+00
48,4.11346563697934E+00
49,3.82558768998177E+00
50,3.56855055766640E+00
51,3.25656116824632E+00
52,3.40282630580355E+00
53,3.07304771003675E+00
54,3.13092767470525E+00
55,2.90160899534960E+00
56,2.72363841284922E+00
57,2.65789836241098E+00
58,2.29482302279925E+00
59,2.26634518507385E+00
60,2.08658127725399E+00
61,1.95200701203864E+00
62,2.22413925839443E+00
63,2.13744868027091E+00
64,2.43585603035411E+00
65,2.75649443850793E+00
66,2.93989933573870E+00
67,3.00676938693601E+00
68,2.85972185103485E+00
69,2.73764133462923E+00
70,2.99945560605208E+00
71,2.85448673863865E+00
72,3.12703698258902E+00
73,3.53328712019618E+00
74,3.64098645037774E+00
